PokedexNumber,Name,PrimaryType,SecondaryType,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,HighestStat,HighestStatValue,EvolutionStage,Color,Height,Weight,DexEntry,Generation
512,Simisage,Grass,None,75,98,63,98,63,101,Speed,101,2,Green,11,305,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",5
513,Pansear,Fire,None,50,53,48,53,48,64,Speed,64,1,Red,6,110,"When it is angered, the temperature of its head tuft reaches 600° F. It uses its tuft to roast berries.",5
514,Simisear,Fire,None,75,98,63,98,63,101,Speed,101,2,Red,10,280,It loves sweets because they become energy for the fire burning inside its body.,5
515,Panpour,Water,None,50,53,48,53,48,64,Speed,64,1,Blue,6,135,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.,5
516,Simipour,Water,None,75,98,63,98,63,101,Speed,101,2,Blue,10,290,"The tuft on its head holds water. When the level runs low, it replenishes the tuft by siphoning up water with its tail.",5
517,Munna,Psychic,None,76,25,45,67,55,24,Hp,76,1,Pink,6,233,Munna always float in the air. People whose dreams are eaten by them forget what the dreams had been about.,5
518,Musharna,Psychic,None,116,55,85,107,95,29,Hp,116,2,Pink,11,605,The mist emanating from their foreheads is packed with the dreams of people and Pokémon.,5
519,Pidove,Normal,Flying,50,55,50,36,30,43,Attack,55,1,Gray,3,21,"Each follows its Trainer’s orders as best it can, but they sometimes fail to understand complicated commands.",5
520,Tranquill,Normal,Flying,62,77,62,50,42,65,Attack,77,2,Gray,6,150,It can return to its Trainer’s location regardless of the distance separating them.,5
521,Unfezant,Normal,Flying,80,115,80,65,55,93,Attack,115,3,Gray,12,290,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.,5
522,Blitzle,Electric,None,45,60,32,50,32,76,Speed,76,1,Black,8,298,Its mane shines when it discharges electricity. They use their flashing manes to communicate with one another.,5
523,Zebstrika,Electric,None,75,100,63,80,63,116,Speed,116,2,Black,16,795,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates.",5
524,Roggenrola,Rock,None,55,75,85,25,25,15,Defense,85,1,Blue,4,180,"Its ear is hexagonal in shape. Compressed underground, its body is as hard as steel.",5
525,Boldore,Rock,None,70,105,105,50,40,20,Attack,105,2,Blue,9,1020,"When it overflows with power, the orange crystal on its body glows. It looks for underground water in caves.",5
526,Gigalith,Rock,None,85,135,130,60,80,25,Attack,135,3,Blue,17,2600,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.,5
527,Woobat,Psychic,Flying,65,45,43,55,43,72,Speed,72,1,Blue,4,21,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.,5
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,Speed,114,2,Blue,9,105,"It emits sound waves of various frequencies from its nose, including some powerful enough to destroy rocks.",5
529,Drilbur,Ground,None,60,85,40,30,45,68,Attack,85,1,Gray,3,85,It can dig through the ground at a speed of 30 mph. It could give a car running aboveground a good race.,5
530,Excadrill,Ground,Steel,110,135,60,50,65,88,Attack,135,2,Gray,7,404,It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.,5
531,Audino,Normal,None,103,60,86,60,86,50,Hp,103,1,Pink,11,310,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling.",5
532,Timburr,Fighting,None,75,80,55,25,35,35,Attack,80,1,Gray,6,125,It fights by swinging a piece of lumber around. It is close to evolving when it can handle the lumber without difficulty.,5
533,Gurdurr,Fighting,None,85,105,85,40,50,40,Attack,105,2,Gray,12,400,This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.,5
534,Conkeldurr,Fighting,None,105,140,95,55,65,45,Attack,140,3,Brown,14,870,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago.",5
535,Tympole,Water,None,50,50,40,50,40,64,Speed,64,1,Blue,5,45,They warn others of danger by vibrating their cheeks to create a high-pitched sound.,5
536,Palpitoad,Water,Ground,75,65,55,65,55,69,Hp,75,2,Blue,8,170,"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land.",5
537,Seismitoad,Water,Ground,105,95,75,85,75,74,Hp,105,3,Blue,15,620,They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.,5
538,Throh,Fighting,None,120,100,85,30,85,45,Hp,120,1,Red,13,555,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts.",5
539,Sawk,Fighting,None,75,125,75,30,75,85,Attack,125,1,Blue,14,510,The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.,5
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,Defense,70,1,Yellow,3,25,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,5
541,Swadloon,Bug,Grass,55,63,90,50,80,42,Defense,90,2,Green,5,73,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,5
542,Leavanny,Bug,Grass,75,103,80,70,80,92,Attack,103,3,Yellow,12,205,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",5
543,Venipede,Bug,Poison,30,45,59,30,39,57,Defense,59,1,Red,4,53,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.",5
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,Defense,99,2,Gray,12,585,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies.",5
545,Scolipede,Bug,Poison,60,100,89,55,69,112,Speed,112,3,Red,25,2005,"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.",5
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,Speed,66,1,Green,3,6,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker.",5
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,Speed,116,2,Green,7,66,"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind.",5
548,Petilil,Grass,None,45,35,50,70,50,30,Special Attack,70,1,Green,5,66,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.,5
549,Lilligant,Grass,None,70,60,75,110,75,90,Special Attack,110,2,Green,11,163,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,5
550,Basculin-Red-Striped,Water,None,70,92,65,80,55,98,Speed,98,1,Green,10,180,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile.",5
551,Sandile,Ground,Dark,50,72,35,35,35,65,Attack,72,1,Brown,7,152,They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.,5
552,Krokorok,Ground,Dark,60,82,45,45,45,74,Attack,82,2,Brown,10,334,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.,5
553,Krookodile,Ground,Dark,95,117,80,65,70,92,Attack,117,3,Red,15,963,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile.",5
554,Darumaka,Fire,None,70,90,45,15,45,50,Attack,90,1,Red,6,375,"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep.",5
555,Darmanitan-Standard,Fire,None,105,140,55,30,55,95,Attack,140,2,Red,13,929,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch.",5
556,Maractus,Grass,None,75,86,67,106,67,60,Special Attack,106,1,Green,10,280,It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.,5
557,Dwebble,Bug,Rock,50,65,85,35,35,55,Defense,85,1,Red,3,145,This Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.,5
558,Crustle,Bug,Rock,70,105,125,65,75,45,Defense,125,2,Red,14,2000,"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle.",5
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,Attack,75,1,Yellow,6,118,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck.",5
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,Defense,115,2,Red,11,300,Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.,5
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,Special Attack,103,1,Black,14,140,"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast.",5
562,Yamask,Ghost,None,38,30,85,55,65,30,Defense,85,1,Black,5,15,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.,5
563,Cofagrigus,Ghost,None,58,50,145,95,105,30,Defense,145,2,Yellow,17,765,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.,5
564,Tirtouga,Water,Rock,54,78,103,53,45,22,Defense,103,1,Blue,7,165,"Restored from a fossil, this Pokémon can dive to depths beyond half a mile.",5
565,Carracosta,Water,Rock,74,108,133,83,65,32,Defense,133,2,Blue,12,810,They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker.,5
566,Archen,Rock,Flying,55,112,45,74,45,70,Attack,112,1,Yellow,5,95,"Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another.",5
567,Archeops,Rock,Flying,75,140,65,112,65,110,Attack,140,2,Yellow,14,320,"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight.",5
568,Trubbish,Poison,None,50,50,62,40,62,65,Speed,65,1,Green,6,310,Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.,5
569,Garbodor,Poison,None,80,95,82,60,82,75,Attack,95,2,Green,19,1073,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,5
570,Zorua,Dark,None,40,65,40,80,40,65,Special Attack,80,1,Gray,7,125,"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child.",5
571,Zoroark,Dark,None,60,105,60,120,60,105,Special Attack,120,2,Gray,16,811,Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.,5
572,Minccino,Normal,None,55,50,40,40,40,75,Speed,75,1,Gray,4,58,"They greet one another by rubbing each other with their tails, which are always kept well groomed and clean.",5
573,Cinccino,Normal,None,75,95,60,65,60,115,Speed,115,2,Gray,5,75,Their white fur is coated in a special oil that makes it easy for them to deflect attacks.,5
574,Gothita,Psychic,None,45,30,50,55,65,45,Special Defense,65,1,Purple,4,58,Their ribbonlike feelers increase their psychic power. They are always staring at something.,5
575,Gothorita,Psychic,None,60,45,70,75,85,55,Special Defense,85,2,Purple,7,180,They use hypnosis to control people and Pokémon. Tales of Gothorita leading people astray are told in every corner.,5
576,Gothitelle,Psychic,None,70,55,95,95,110,65,Special Defense,110,3,Purple,15,440,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.,5
577,Solosis,Psychic,None,45,30,40,105,50,20,Special Attack,105,1,Green,3,10,They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.,5
578,Duosion,Psychic,None,65,40,50,125,60,30,Special Attack,125,2,Green,6,80,"Since they have two divided brains, at times they suddenly try to take two different actions at once.",5
579,Reuniclus,Psychic,None,110,65,75,125,85,30,Special Attack,125,3,Green,10,201,"They use psychic power to control their arms, which are made of a special liquid. They can crush boulders psychically.",5
580,Ducklett,Water,Flying,62,44,50,44,50,55,Hp,62,1,Blue,5,55,These bird Pokémon are excellent divers. They swim around in the water eating their favorite food--peat moss.,5
581,Swanna,Water,Flying,75,87,63,87,63,98,Speed,98,2,White,13,242,Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.,5
582,Vanillite,Ice,None,36,50,50,65,60,44,Special Attack,65,1,White,4,57,The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.,5
583,Vanillish,Ice,None,51,65,65,80,75,59,Special Attack,80,2,White,11,410,"Snowy mountains are this Pokémon’s habitat. During an ancient ice age, they moved to southern areas.",5
584,Vanilluxe,Ice,None,71,95,85,110,95,79,Special Attack,110,3,White,13,575,"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards.",5
585,Deerling,Normal,Grass,60,60,50,40,50,75,Speed,75,1,Pink,6,195,"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass.",5
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,Attack,100,2,Brown,19,925,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,5
587,Emolga,Electric,Flying,55,75,60,75,60,103,Speed,103,1,White,4,50,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.,5
588,Karrablast,Bug,None,50,75,45,40,45,60,Attack,75,1,Blue,5,59,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,5
589,Escavalier,Bug,Steel,70,135,105,60,105,20,Attack,135,2,Gray,10,330,"They fly around at high speed, striking with their pointed spears. Even when in trouble, they face opponents bravely.",5
590,Foongus,Grass,Poison,69,55,45,55,55,15,Hp,69,1,White,2,10,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.",5
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,Hp,114,2,White,6,105,"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.",5
592,Frillish-Male,Water,Ghost,55,40,50,65,85,40,Special Defense,85,1,White,12,330,"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor.",5
593,Jellicent-Male,Water,Ghost,100,60,70,85,105,60,Special Defense,105,2,White,22,1350,"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished.",5
594,Alomomola,Water,None,165,75,80,40,45,65,Hp,165,1,Pink,12,316,The special membrane enveloping Alomomola has the ability to heal wounds.,5
595,Joltik,Bug,Electric,50,47,50,57,50,65,Speed,65,1,Yellow,1,6,Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.,5
596,Galvantula,Bug,Electric,70,77,60,97,60,108,Speed,108,2,Yellow,8,143,"When attacked, they create an electric barrier by spitting out many electrically charged threads.",5
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,Defense,91,1,Gray,6,188,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.",5
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,Defense,131,2,Gray,10,1100,It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.,5
599,Klink,Steel,None,40,55,70,45,60,30,Defense,70,1,Gray,3,210,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.,5
600,Klang,Steel,None,60,80,95,70,85,50,Defense,95,2,Gray,6,510,"By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster.",5
601,Klinklang,Steel,None,60,100,115,70,85,90,Defense,115,3,Gray,6,810,Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.,5
602,Tynamo,Electric,None,35,55,40,45,40,60,Speed,60,1,White,2,3,"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning.",5
603,Eelektrik,Electric,None,65,85,70,75,70,40,Attack,85,2,Blue,12,220,They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.,5
604,Eelektross,Electric,None,85,115,80,105,80,50,Attack,115,3,Blue,21,805,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,5
605,Elgyem,Psychic,None,55,55,55,85,55,30,Special Attack,85,1,Blue,5,90,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches.",5
606,Beheeyem,Psychic,None,75,75,75,125,95,40,Special Attack,125,2,Brown,10,345,"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers.",5
607,Litwick,Ghost,Fire,50,30,55,65,55,20,Special Attack,65,1,White,3,31,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.",5
608,Lampent,Ghost,Fire,60,40,60,95,60,55,Special Attack,95,2,Black,6,130,"This ominous Pokémon is feared. Through cities it wanders, searching for the spirits of the fallen.",5
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,Special Attack,145,3,Black,10,343,"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance.",5
610,Axew,Dragon,None,46,87,60,30,40,57,Attack,87,1,Green,6,180,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,5
611,Fraxure,Dragon,None,66,117,70,40,50,67,Attack,117,2,Green,10,360,"Since a broken tusk will not grow back, they diligently sharpen their tusks on river rocks after they’ve been fighting.",5
612,Haxorus,Dragon,None,76,147,90,60,70,97,Attack,147,3,Yellow,18,1055,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,5
613,Cubchoo,Ice,None,55,70,40,60,40,40,Attack,70,1,White,5,85,"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases.",5
614,Beartic,Ice,None,95,130,80,70,80,50,Attack,130,2,White,26,2600,"It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey.",5
615,Cryogonal,Ice,None,80,50,50,95,135,105,Special Defense,135,1,Blue,11,1480,"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice.",5
616,Shelmet,Bug,None,50,40,85,40,65,25,Defense,85,1,Red,4,77,"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid.",5
617,Accelgor,Bug,None,80,70,40,100,60,145,Speed,145,2,Red,8,253,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.",5
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,Hp,109,1,Brown,7,110,"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.",5
619,Mienfoo,Fighting,None,45,85,50,55,50,65,Attack,85,1,Yellow,9,200,"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.",5
620,Mienshao,Fighting,None,65,125,60,95,60,105,Attack,125,2,Purple,14,355,It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.,5
621,Druddigon,Dragon,None,77,120,90,60,90,48,Attack,120,1,Red,16,1390,"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.",5
622,Golett,Ground,Ghost,59,74,50,35,50,35,Attack,74,1,Green,10,920,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.",5
623,Golurk,Ground,Ghost,89,124,80,55,80,55,Attack,124,2,Green,28,3300,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.,5
624,Pawniard,Dark,Steel,45,85,70,40,40,60,Attack,85,1,Red,5,102,"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river.",5
625,Bisharp,Dark,Steel,65,125,100,60,70,70,Attack,125,2,Red,16,700,"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses.",5
626,Bouffalant,Normal,None,95,110,95,40,95,55,Attack,110,1,Brown,16,946,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.",5
627,Rufflet,Normal,Flying,70,83,50,37,50,60,Attack,83,1,White,5,105,"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.",5
628,Braviary,Normal,Flying,100,123,75,57,75,80,Attack,123,2,Red,15,410,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,5
629,Vullaby,Dark,Flying,70,55,75,45,65,60,Defense,75,1,Brown,5,90,"Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.",5
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,Hp,110,2,Brown,12,395,It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.,5
631,Heatmor,Fire,None,85,97,66,105,66,65,Special Attack,105,1,Red,14,580,It breathes through a hole in its tail while it burns with an internal fire. Durant is its prey.,5
632,Durant,Bug,Steel,58,109,112,48,48,109,Defense,112,1,Gray,3,330,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.",5
633,Deino,Dark,Dragon,52,65,50,45,50,38,Attack,65,1,Blue,8,173,"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous.",5
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,Attack,85,2,Blue,14,500,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along.",5
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,Special Attack,125,3,Blue,18,1600,"This brutal Pokémon travels the skies on its six wings. Anything that moves seems like a foe to it, triggering its attack.",5
636,Larvesta,Bug,Fire,55,85,55,50,55,60,Attack,85,1,White,11,288,"This Pokémon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames.",5
637,Volcarona,Bug,Fire,85,60,65,135,105,100,Special Attack,135,2,White,16,460,"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun.",5
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,Defense,129,1,Blue,21,2500,This legendary Pokémon battled against humans to protect Pokémon. Its personality is calm and composed.,5
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,Attack,129,1,Gray,19,2600,This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.,5
640,Virizion,Grass,Fighting,91,90,72,90,129,108,Special Defense,129,1,Green,20,2000,This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.,5
641,Tornadus-Incarnate,Flying,None,79,115,70,125,80,111,Special Attack,125,1,Green,15,630,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,5
642,Thundurus-Incarnate,Electric,Flying,79,115,70,125,80,111,Special Attack,125,1,Blue,15,610,Countless charred remains mar the landscape of places through which Thundurus has passed.,5
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,Special Attack,150,1,White,32,3300,"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.",5
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,Attack,150,1,Black,29,3450,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.",5
645,Landorus-Incarnate,Ground,Flying,89,125,90,115,80,101,Attack,125,1,Brown,15,680,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”,5
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,Attack,130,1,Gray,30,3250,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out.",5
647,Keldeo-Ordinary,Water,Fighting,91,72,90,129,90,108,Special Attack,129,1,Yellow,14,485,"By blasting water from its hooves, it can glide across water. It excels at using leg moves while battling.",5
648,Meloetta-Aria,Normal,Psychic,100,77,77,128,128,90,Special Attack,128,1,White,6,65,Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.,5
649,Genesect,Bug,Steel,71,120,95,120,95,99,Attack,120,1,Purple,15,825,"Over 300 million years ago, it was feared as the strongest of hunters. It has been modified by Team Plasma.",5
650,Chespin,Grass,None,56,61,65,48,45,38,Defense,65,1,Green,4,90,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",6
651,Quilladin,Grass,None,61,78,95,56,58,57,Defense,95,2,Green,7,290,It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.,6
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,Defense,122,3,Green,16,900,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,6
653,Fennekin,Fire,None,40,45,40,62,60,60,Special Attack,62,1,Red,4,94,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.",6
654,Braixen,Fire,None,59,59,58,90,70,73,Special Attack,90,2,Red,10,145,"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle.",6
655,Delphox,Fire,Psychic,75,69,72,114,100,104,Special Attack,114,3,Red,15,390,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.",6
656,Froakie,Water,None,41,56,40,62,44,71,Speed,71,1,Blue,3,70,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,6
657,Frogadier,Water,None,54,63,52,83,56,97,Speed,97,2,Blue,6,109,"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.",6
658,Greninja,Water,Dark,72,95,67,103,71,122,Speed,122,3,Blue,15,400,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.",6
659,Bunnelby,Normal,None,38,36,38,32,36,57,Speed,57,1,Brown,4,50,They use their large ears to dig burrows. They will dig the whole night through.,6
660,Diggersby,Normal,Ground,85,56,77,50,77,78,Hp,85,2,Brown,10,424,"With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.",6
661,Fletchling,Normal,Flying,45,50,43,40,38,62,Speed,62,1,Red,3,17,These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.,6
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,Speed,84,2,Red,7,160,"From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass.",6
663,Talonflame,Fire,Flying,78,81,71,74,69,126,Speed,126,3,Red,12,245,"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.",6
664,Scatterbug,Bug,None,38,35,40,27,25,35,Defense,40,1,Black,3,25,"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact.",6
665,Spewpa,Bug,None,45,22,60,27,30,29,Defense,60,2,Black,3,84,"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them.",6
666,Vivillon,Bug,Flying,80,52,50,90,50,89,Special Attack,90,3,White,12,170,Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.,6
667,Litleo,Fire,Normal,62,50,58,73,54,72,Special Attack,73,1,Brown,6,135,"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.",6
668,Pyroar-Male,Fire,Normal,86,68,72,109,66,106,Special Attack,109,2,Brown,15,815,The male with the largest mane of fire is the leader of the pride.,6
669,Flabebe,Fairy,None,44,38,39,61,79,42,Special Defense,79,1,White,1,1,It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.,6
670,Floette,Fairy,None,54,45,47,75,98,52,Special Defense,98,2,White,2,9,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.,6
671,Florges,Fairy,None,78,65,68,112,154,75,Special Defense,154,3,White,11,100,"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.",6
672,Skiddo,Grass,None,66,65,48,62,57,52,Hp,66,1,Brown,9,310,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition.",6
673,Gogoat,Grass,None,123,100,62,97,81,68,Hp,123,2,Brown,17,910,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.,6
674,Pancham,Fighting,None,67,82,62,46,48,43,Attack,82,1,White,6,80,"It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark.",6
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,Attack,124,2,White,21,1360,"From the slight twitches of its bamboo leaf, it deduces its opponent’s movements. It’s eager to tussle but kindhearted toward its companions.",6
676,Furfrou,Normal,None,75,80,60,65,90,102,Speed,102,1,White,12,280,Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.,6
677,Espurr,Psychic,None,62,48,54,63,60,68,Speed,68,1,Gray,3,35,The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.,6
678,Meowstic-Male,Psychic,None,74,48,76,83,81,104,Speed,104,2,Blue,6,85,"When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck into dust.",6
679,Honedge,Steel,Ghost,45,80,100,35,37,28,Defense,100,1,Brown,8,20,Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.,6
680,Doublade,Steel,Ghost,59,110,150,45,49,35,Defense,150,2,Brown,8,45,"When Honedge evolves, it divides into two swords, which cooperate via telepathy to coordinate attacks and slash their enemies to ribbons.",6
